beta,seed,peak,final_inf,final_rec,deaths
0.1,42,0.0003333333333333333,0.0,0.0003333333333333333,0
0.1,43,0.002,0.0,0.0026666666666666666,0
0.1,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.2,42,0.985,0.9176666666666666,0.03833333333333333,132
0.2,43,0.001,0.0,0.001,0
0.2,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.3,42,0.998,0.884,0.006666666666666667,328
0.3,43,0.9966666666666667,0.8466666666666667,0.05466666666666667,296
0.3,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.4,42,1.0,0.81,0.07133333333333333,356
0.4,43,0.999,0.8653333333333333,0.02666666666666667,324
0.4,44,0.0006666666666666666,0.0,0.0006666666666666666,0
0.5,42,1.0,0.88,0.008333333333333333,335
0.5,43,1.0,0.9,0.0003333333333333333,299
0.5,44,1.0,0.8933333333333333,0.0003333333333333333,319
0.6,42,0.9996666666666667,0.8753333333333333,0.012666666666666666,336
0.6,43,1.0,0.8856666666666667,0.0016666666666666668,338
0.6,44,1.0,0.8733333333333333,0.0033333333333333335,370
0.7,42,1.0,0.783,0.08166666666666667,406
0.7,43,1.0,0.885,0.0023333333333333335,338
0.7,44,1.0,0.872,0.014666666666666666,340
0.8,42,1.0,0.752,0.11733333333333333,392
0.8,43,1.0,0.8876666666666667,0.002,331
0.8,44,1.0,0.8636666666666667,0.021,346
0.9,42,1.0,0.8253333333333334,0.041,401
0.9,43,1.0,0.8236666666666667,0.05466666666666667,365
0.9,44,1.0,0.8696666666666667,0.0,391
1.0,42,1.0,0.869,0.0,393
1.0,43,1.0,0.8656666666666667,0.0,403
1.0,44,1.0,0.858,0.0,426
