beta,seed,peak,final_inf,final_rec,deaths
0.05,42,0.0003333333333333333,0.0,0.0003333333333333333,0
0.05,43,0.0006666666666666666,0.0,0.0006666666666666666,0
0.05,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.05,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.05,46,0.0003333333333333333,0.0,0.0003333333333333333,0
0.06,42,0.0003333333333333333,0.0,0.0003333333333333333,0
0.06,43,0.0006666666666666666,0.0,0.0006666666666666666,0
0.06,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.06,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.06,46,0.0003333333333333333,0.0,0.0003333333333333333,0
0.07,42,0.0003333333333333333,0.0,0.0003333333333333333,0
0.07,43,0.0013333333333333333,0.0,0.0016666666666666668,0
0.07,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.07,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.07,46,0.0003333333333333333,0.0,0.0003333333333333333,0
0.08,42,0.0003333333333333333,0.0,0.0003333333333333333,0
0.08,43,0.0013333333333333333,0.0,0.0016666666666666668,0
0.08,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.08,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.08,46,0.0003333333333333333,0.0,0.0003333333333333333,0
0.09,42,0.0003333333333333333,0.0,0.0003333333333333333,0
0.09,43,0.002,0.0,0.0026666666666666666,0
0.09,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.09,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.09,46,0.0003333333333333333,0.0,0.0003333333333333333,0
0.1,42,0.0003333333333333333,0.0,0.0003333333333333333,0
0.1,43,0.002,0.0,0.0026666666666666666,0
0.1,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.1,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.1,46,0.0003333333333333333,0.0,0.0003333333333333333,0
0.11,42,0.0026666666666666666,0.0,0.005,1
0.11,43,0.002,0.0,0.0026666666666666666,0
0.11,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.11,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.11,46,0.0003333333333333333,0.0,0.0003333333333333333,0
0.12,42,0.002,0.0,0.002,0
0.12,43,0.002,0.0,0.0026666666666666666,0
0.12,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.12,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.12,46,0.0003333333333333333,0.0,0.0003333333333333333,0
0.13,42,0.002,0.0,0.002,0
0.13,43,0.002,0.0,0.0026666666666666666,0
0.13,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.13,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.13,46,0.0006666666666666666,0.0,0.0006666666666666666,0
0.14,42,0.0023333333333333335,0.0,0.0023333333333333335,0
0.14,43,0.006666666666666667,0.0,0.02033333333333333,3
0.14,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.14,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.14,46,0.0006666666666666666,0.0,0.0006666666666666666,0
0.15,42,0.0023333333333333335,0.0,0.0023333333333333335,0
0.15,43,0.027333333333333334,0.027333333333333334,0.057,5
0.15,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.15,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.15,46,0.0006666666666666666,0.0,0.0006666666666666666,0
0.16,42,0.08466666666666667,0.08266666666666667,0.202,13
0.16,43,0.056666666666666664,0.055,0.123,7
0.16,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.16,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.16,46,0.0006666666666666666,0.0,0.0006666666666666666,0
0.17,42,0.04133333333333333,0.04133333333333333,0.03866666666666667,4
0.17,43,0.17966666666666667,0.17966666666666667,0.22133333333333333,18
0.17,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.17,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.17,46,0.0033333333333333335,0.0,0.005666666666666667,1
0.18,42,0.9713333333333334,0.951,0.011,114
0.18,43,0.002,0.0,0.002,0
0.18,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.18,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.18,46,0.011,0.011,0.02,3
0.19,42,0.9813333333333333,0.9533333333333334,0.013,101
0.19,43,0.002,0.0,0.002,0
0.19,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.19,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.19,46,0.011,0.011,0.02,3
0.2,42,0.985,0.9176666666666666,0.03833333333333333,132
0.2,43,0.001,0.0,0.001,0
0.2,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.2,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.2,46,0.9796666666666667,0.9253333333333333,0.044,92
0.21,42,0.992,0.9426666666666667,0.008333333333333333,147
0.21,43,0.001,0.0,0.001,0
0.21,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.21,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.21,46,0.9876666666666667,0.9246666666666666,0.009,199
0.22,42,0.9883333333333333,0.927,0.003,210
0.22,43,0.001,0.0,0.001,0
0.22,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.22,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.22,46,0.9886666666666667,0.9196666666666666,0.027,160
0.23,42,0.9923333333333333,0.9126666666666666,0.005333333333333333,246
0.23,43,0.001,0.0,0.001,0
0.23,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.23,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.23,46,0.9913333333333333,0.9066666666666666,0.017,229
0.24,42,0.996,0.871,0.043666666666666666,256
0.24,43,0.9933333333333333,0.8826666666666667,0.03266666666666666,254
0.24,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.24,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.24,46,0.9926666666666667,0.8996666666666666,0.041666666666666664,176
0.25,42,0.995,0.915,0.006333333333333333,236
0.25,43,0.997,0.9086666666666666,0.011333333333333334,240
0.25,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.25,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.25,46,0.991,0.9203333333333333,0.006666666666666667,219
0.26,42,0.9966666666666667,0.8846666666666667,0.031,253
0.26,43,0.9953333333333333,0.911,0.007666666666666666,244
0.26,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.26,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.26,46,0.9956666666666667,0.89,0.036333333333333336,221
0.27,42,0.9973333333333333,0.866,0.035333333333333335,296
0.27,43,0.9963333333333333,0.866,0.04033333333333333,281
0.27,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.27,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.27,46,0.9953333333333333,0.9123333333333333,0.007,242
0.28,42,0.9983333333333333,0.9,0.002,294
0.28,43,0.998,0.844,0.05733333333333333,296
0.28,44,0.0003333333333333333,0.0,0.0003333333333333333,0
0.28,45,0.0003333333333333333,0.0,0.0003333333333333333,0
0.28,46,0.9963333333333333,0.8883333333333333,0.02266666666666667,267
0.29,42,0.999,0.8673333333333333,0.035,293
0.29,43,0.997,0.854,0.05466666666666667,274
