beta,gamma,peak_I,peak_time,final_R
0.1,0.1,10.0,0.0,82.8346173883942
0.15,0.1,69.72276246510515,65.0,468.1467061525959
0.2,0.1,158.4402858808921,44.0,775.6925083444975
0.25,0.1,237.5036072387938,33.0,888.4581908150507
0.3,0.1,303.7882406765716,26.5,939.3180655575663
0.35,0.1,359.20193529096184,22.5,965.5263196452695
0.4,0.1,405.8901896374525,19.5,979.9192166250505
0.45,0.1,445.7181688593917,17.0,988.1098787721364
0.5,0.1,479.9747587080807,15.5,992.8753031663388
0.55,0.1,510.00638321465044,14.0,995.6885079584108
0.6,0.1,535.8557711069595,13.0,997.3657577346542
0.65,0.1,559.2165710654099,12.0,998.3727218505676
0.7,0.1,580.5495261019083,11.0,998.9803763748884
0.75,0.1,598.637094015555,10.0,999.3485689563664
0.8,0.1,616.1564710875754,9.5,999.572484377202
