time,S,I,R
0.0,990,10,0
0.2473709321789516,990,9,1
0.5937028115627021,989,10,1
0.697580027030684,989,9,2
0.8898213546849457,989,8,3
0.919421828928676,988,9,3
1.0213947732660107,987,10,3
1.2646082799573701,987,9,4
1.2926094970237225,986,10,4
1.4190843536597193,985,11,4
1.978455893945016,985,10,5
2.108816719936377,984,11,5
2.135211231568469,983,12,5
2.693688627500425,982,13,5
2.7769510820097345,981,14,5
2.9725770897001746,980,15,5
3.0646701391408824,979,16,5
3.261660693321036,978,17,5
3.3725431934191743,977,18,5
3.389549856461451,976,19,5
3.481547213323936,975,20,5
3.577627811231443,974,21,5
3.6924589670475765,973,22,5
3.701460940334677,972,23,5
3.78321540222386,971,24,5
3.9679053732862792,971,23,6
3.9895532874469106,970,24,6
4.022211693692656,969,25,6
4.137306112211514,969,24,7
4.179615995256074,968,25,7
4.198770940433141,968,24,8
4.245390500631531,967,25,8
4.344081323455485,967,24,9
4.366386841663061,966,25,9
4.400061055408622,966,24,10
4.4204725487496175,965,25,10
4.621229338546933,965,24,11
4.652011132668041,964,25,11
4.776398926890785,963,26,11
4.819985151627684,962,27,11
5.089794730475565,961,28,11
5.124803432057558,961,27,12
5.247859632751796,961,26,13
5.445700441452578,960,27,13
5.460699125836411,960,26,14
5.473398830633466,959,27,14
5.608790552199295,959,26,15
5.704783002383058,958,27,15
5.828286436842367,957,28,15
5.866222000550271,956,29,15
5.874329432082828,955,30,15
6.0038849870159705,955,29,16
6.104981987052177,954,30,16
6.138248875377682,953,31,16
6.184641372717441,952,32,16
6.312154486726753,951,33,16
6.406301859202204,950,34,16
6.46396752078875,950,33,17
6.494854072231634,949,34,17
6.513966159120127,948,35,17
6.526678283721341,947,36,17
6.554290236402776,947,35,18
6.605442509411989,946,36,18
6.664404760203804,945,37,18
6.824204136612609,944,38,18
6.86809746074902,943,39,18
7.010261488642718,942,40,18
7.011525798673499,941,41,18
7.108061128984589,940,42,18
7.118278663658069,939,43,18
7.218519244619459,938,44,18
7.228698997314982,937,45,18
7.228972824360333,936,46,18
7.235387951980795,935,47,18
7.254179129748271,935,46,19
7.266765921952787,935,45,20
7.295945766612388,934,46,20
7.348874614563596,933,47,20
7.412350954258996,932,48,20
7.422099703577406,931,49,20
7.472928044379483,930,50,20
7.52241987941224,929,51,20
7.7156986717037945,929,50,21
7.735055061890078,928,51,21
7.818592092282551,928,50,22
7.840681731996627,927,51,22
7.887438487875469,926,52,22
7.910484967363903,925,53,22
7.967073603728892,924,54,22
8.04940696128352,923,55,22
8.084307016224354,922,56,22
8.109223509192244,921,57,22
8.181481877882044,921,56,23
8.215502352248082,920,57,23
8.2295749836098,919,58,23
8.244817543154614,918,59,23
8.268945014382938,917,60,23
8.313919037757445,916,61,23
8.33627456068468,915,62,23
8.342863817788656,914,63,23
8.356696608043254,913,64,23
8.388552235414112,912,65,23
8.426340380696189,911,66,23
8.42944232346481,910,67,23
8.486306114603996,909,68,23
8.5185816458023,908,69,23
8.522426266215765,908,68,24
8.546244613271329,907,69,24
8.58342697194743,906,70,24
8.607627024683499,905,71,24
8.68527899066166,904,72,24
8.756231177054943,904,71,25
8.780004214954326,903,72,25
8.797075374389395,903,71,26
8.87701568465451,903,70,27
8.922276026460157,902,71,27
8.949621153879601,901,72,27
8.953485403201707,900,73,27
9.021324962713393,900,72,28
9.136220209857626,899,73,28
9.152670738119074,898,74,28
9.159883432784444,898,73,29
9.162264150514453,897,74,29
9.165328397845617,896,75,29
9.191280242481774,895,76,29
9.226693928984558,894,77,29
9.252074933625373,894,76,30
9.27292255258875,893,77,30
9.27522931541645,892,78,30
9.31284596042658,891,79,30
9.396524858755106,890,80,30
9.461343334489323,889,81,30
9.525157437200109,888,82,30
9.567379906287464,887,83,30
9.582479401252526,886,84,30
9.618283472267406,885,85,30
9.631185833694138,884,86,30
9.6349304210017,883,87,30
9.659846156298773,882,88,30
9.661616062832634,881,89,30
9.68523418652824,880,90,30
9.773985091959114,879,91,30
9.805552612617214,878,92,30
9.805830155237976,877,93,30
9.813969305075918,877,92,31
9.849712855968873,876,93,31
9.850803790760533,876,92,32
9.87773612027631,875,93,32
9.88204284235812,875,92,33
9.925868754458216,874,93,33
9.944891716292204,873,94,33
9.968785647205806,872,95,33
9.984229454399832,871,96,33
10.006445630291516,870,97,33
10.017143239201886,870,96,34
10.02141681555035,869,97,34
10.11492178826949,868,98,34
10.179480089905208,867,99,34
10.181825494622373,866,100,34
10.198439520556288,865,101,34
10.213152687726842,864,102,34
10.227374490069376,863,103,34
10.24957138136371,862,104,34
10.249667465798503,861,105,34
10.319622686832295,861,104,35
10.325916705463095,860,105,35
10.338164830062201,859,106,35
10.33976110353808,858,107,35
10.351173288506459,857,108,35
10.383930929137682,856,109,35
10.398264874382264,856,108,36
10.468004051222795,855,109,36
10.546134732952227,854,110,36
10.573852714248858,854,109,37
10.612523163777714,853,110,37
10.635722781405642,852,111,37
10.639107552473128,851,112,37
10.747045036482229,850,113,37
10.777706040286935,849,114,37
10.810914221754159,848,115,37
10.82363038718205,848,114,38
10.843493598518172,847,115,38
10.844180958548144,847,114,39
10.881393136535682,846,115,39
10.881720931325892,845,116,39
10.901007626022686,845,115,40
10.905717855415645,845,114,41
10.90866025014239,845,113,42
10.926280294751956,845,112,43
10.931618996600552,844,113,43
10.946117905662161,843,114,43
10.982965851141424,843,113,44
10.990267029103956,842,114,44
10.99573114696871,841,115,44
11.001690149148693,840,116,44
11.016073055214743,839,117,44
11.02478027609683,839,116,45
11.031048326450227,839,115,46
11.043439296623877,838,116,46
11.076964178105692,837,117,46
11.096344396109728,837,116,47
11.096351848200465,836,117,47
11.127094171963869,835,118,47
11.141897710740121,834,119,47
11.153027499338515,834,118,48
