time,healthy_machines,working_machines,spare_machines,busy_repairers,repair_queue,event
0.0,13,10,3,0,0,start
4.647805859113985,12,10,2,1,0,failure
5.700294750333551,13,10,3,0,0,repair_complete
8.059724132491068,12,10,2,1,0,failure
12.22522731490319,13,10,3,0,0,repair_complete
13.281752732808735,12,10,2,1,0,failure
14.663818944890338,13,10,3,0,0,repair_complete
21.598789887072037,12,10,2,1,0,failure
21.77001674012807,13,10,3,0,0,repair_complete
37.79257057669302,12,10,2,1,0,failure
37.92329687023295,11,10,1,2,0,failure
38.11136572140175,12,10,2,1,0,repair_complete
38.53727719435241,13,10,3,0,0,repair_complete
52.70935245977823,12,10,2,1,0,failure
52.89014163978337,13,10,3,0,0,repair_complete
70.72269174036366,12,10,2,1,0,failure
71.96421844140495,11,10,1,2,0,failure
72.4263830032797,12,10,2,1,0,repair_complete
72.7334168114511,13,10,3,0,0,repair_complete
77.74060799197228,12,10,2,1,0,failure
77.9164701095316,13,10,3,0,0,repair_complete
94.74698027741212,12,10,2,1,0,failure
94.78004556389122,13,10,3,0,0,repair_complete
111.88065853731885,12,10,2,1,0,failure
114.13770920625707,13,10,3,0,0,repair_complete
142.53809345542572,12,10,2,1,0,failure
142.9052003267536,13,10,3,0,0,repair_complete
144.0362768659069,12,10,2,1,0,failure
144.96675392243512,13,10,3,0,0,repair_complete
145.75579048604038,12,10,2,1,0,failure
146.8105398512488,13,10,3,0,0,repair_complete
152.45022622727606,12,10,2,1,0,failure
157.41344130785214,13,10,3,0,0,repair_complete
166.81835303045875,12,10,2,1,0,failure
166.9745450739761,13,10,3,0,0,repair_complete
168.79995170328343,12,10,2,1,0,failure
170.8576299639245,13,10,3,0,0,repair_complete
180.17285637672933,12,10,2,1,0,failure
183.54767665526165,13,10,3,0,0,repair_complete
186.05336604867364,12,10,2,1,0,failure
186.0626924308023,13,10,3,0,0,repair_complete
216.51228576102338,12,10,2,1,0,failure
216.82612204973637,11,10,1,2,0,failure
216.85096097040554,12,10,2,1,0,repair_complete
216.9236045515083,13,10,3,0,0,repair_complete
218.37116950586392,12,10,2,1,0,failure
218.85925854683344,13,10,3,0,0,repair_complete
219.42685335104224,12,10,2,1,0,failure
220.16432234691578,13,10,3,0,0,repair_complete
222.56673675816637,12,10,2,1,0,failure
223.14695495656892,13,10,3,0,0,repair_complete
225.01886467407064,12,10,2,1,0,failure
225.27239749090842,11,10,1,2,0,failure
225.33696754693108,12,10,2,1,0,repair_complete
226.64764106643423,13,10,3,0,0,repair_complete
250.42865056190757,12,10,2,1,0,failure
250.98945379496104,13,10,3,0,0,repair_complete
254.56242818429828,12,10,2,1,0,failure
255.57183418925996,13,10,3,0,0,repair_complete
264.684858818052,12,10,2,1,0,failure
265.00431019824504,13,10,3,0,0,repair_complete
280.3184302185851,12,10,2,1,0,failure
280.8053392084285,13,10,3,0,0,repair_complete
285.0739294221749,12,10,2,1,0,failure
285.48550018812875,13,10,3,0,0,repair_complete
287.50343455824543,12,10,2,1,0,failure
288.1153110654205,13,10,3,0,0,repair_complete
302.81388453415644,12,10,2,1,0,failure
302.9030977210638,13,10,3,0,0,repair_complete
304.0981061380949,12,10,2,1,0,failure
304.79064681864367,13,10,3,0,0,repair_complete
314.2814939806279,12,10,2,1,0,failure
314.7997307853381,13,10,3,0,0,repair_complete
322.91278082844644,12,10,2,1,0,failure
323.6315516267799,13,10,3,0,0,repair_complete
327.789127631282,12,10,2,1,0,failure
328.7824203309685,13,10,3,0,0,repair_complete
356.38022920975834,12,10,2,1,0,failure
357.12727268644744,11,10,1,2,0,failure
357.2506059577676,10,10,0,2,1,failure
357.5406179599946,11,10,1,2,0,repair_complete
359.0779551732407,12,10,2,1,0,repair_complete
359.1022306094733,11,10,1,2,0,failure
360.3290204646376,12,10,2,1,0,repair_complete
