model,philosophers,seed,deadlock,deadlock_time,final_eaters,final_hungry,events
classic,3,1,true,9.435733935759755,0.0,3.0,24
classic,3,2,true,3.267404758129475,0.0,3.0,9
classic,3,3,true,1.654742791282691,0.0,3.0,6
classic,3,4,true,0.5226667799049717,0.0,3.0,3
classic,3,5,true,0.34926488175012793,0.0,3.0,3
classic,3,6,true,1.6292338247282188,0.0,3.0,3
classic,3,7,true,3.1750373984207716,0.0,3.0,6
classic,3,8,true,3.065866761247662,0.0,3.0,6
classic,3,9,true,2.2187005962186612,0.0,3.0,9
classic,3,10,true,1.4135625284929842,0.0,3.0,6
classic,3,11,true,0.6868209139626524,0.0,3.0,3
classic,3,12,true,2.4387685708429427,0.0,3.0,3
classic,3,13,true,3.750448446021072,0.0,3.0,9
classic,3,14,true,1.2749993927934327,0.0,3.0,3
classic,3,15,true,0.7720096622731549,0.0,3.0,3
classic,3,16,true,1.4642414524853287,0.0,3.0,3
arbiter,3,1,false,,1.0,1.0,93
arbiter,3,2,false,,1.0,1.0,84
arbiter,3,3,false,,1.0,1.0,69
arbiter,3,4,false,,1.0,1.0,84
arbiter,3,5,false,,1.0,1.0,105
arbiter,3,6,false,,1.0,1.0,69
arbiter,3,7,false,,0.0,1.0,82
arbiter,3,8,false,,0.0,2.0,65
arbiter,3,9,false,,0.0,2.0,110
arbiter,3,10,false,,0.0,2.0,89
arbiter,3,11,false,,0.0,2.0,98
arbiter,3,12,false,,0.0,2.0,98
arbiter,3,13,false,,0.0,1.0,91
arbiter,3,14,false,,0.0,2.0,104
arbiter,3,15,false,,1.0,1.0,90
arbiter,3,16,false,,1.0,1.0,75
classic,4,1,true,10.959246258443558,0.0,4.0,28
classic,4,2,true,1.8514081807104619,0.0,4.0,7
classic,4,3,true,4.248248674102075,0.0,4.0,10
classic,4,4,true,0.4274139187448644,0.0,4.0,4
classic,4,5,true,3.853544185481509,0.0,4.0,7
classic,4,6,true,1.1828066598996718,0.0,4.0,4
classic,4,7,true,1.561192606734346,0.0,4.0,4
classic,4,8,true,5.429901113900259,0.0,4.0,16
classic,4,9,true,4.663175161204842,0.0,4.0,13
classic,4,10,true,11.420814462255779,0.0,4.0,25
classic,4,11,true,2.0016298464964026,0.0,4.0,4
classic,4,12,true,5.180973245951568,0.0,4.0,10
classic,4,13,true,3.5364459528600825,0.0,4.0,10
classic,4,14,true,2.190973671679658,0.0,4.0,4
classic,4,15,true,14.241779712100133,0.0,4.0,19
classic,4,16,true,1.2142154582777023,0.0,4.0,4
arbiter,4,1,false,,0.0,2.0,86
arbiter,4,2,false,,0.0,2.0,98
arbiter,4,3,false,,0.0,2.0,83
arbiter,4,4,false,,0.0,2.0,104
arbiter,4,5,false,,1.0,2.0,88
arbiter,4,6,false,,0.0,3.0,90
arbiter,4,7,false,,1.0,2.0,82
arbiter,4,8,false,,0.0,2.0,77
arbiter,4,9,false,,0.0,3.0,120
arbiter,4,10,false,,0.0,3.0,96
arbiter,4,11,false,,1.0,2.0,97
arbiter,4,12,false,,1.0,2.0,109
arbiter,4,13,false,,1.0,2.0,91
arbiter,4,14,false,,0.0,3.0,108
arbiter,4,15,false,,0.0,2.0,86
arbiter,4,16,false,,1.0,1.0,105
classic,5,1,true,14.018163887856463,0.0,5.0,35
classic,5,2,true,6.529429726696864,0.0,5.0,17
classic,5,3,true,4.794429535119861,0.0,5.0,11
classic,5,4,true,45.3792001729484,0.0,5.0,86
classic,5,5,true,4.302971657903713,0.0,5.0,8
classic,5,6,true,1.0772504079292822,0.0,5.0,5
classic,5,7,true,8.656765250910851,0.0,5.0,20
classic,5,8,true,18.593585288495724,0.0,5.0,32
classic,5,9,true,6.495251382652268,0.0,5.0,20
classic,5,10,true,0.6286638563571683,0.0,5.0,5
classic,5,11,true,1.1435535489149835,0.0,5.0,5
classic,5,12,true,7.932292153733277,0.0,5.0,23
classic,5,13,true,1.8829204158632176,0.0,5.0,5
classic,5,14,true,5.462126101907774,0.0,5.0,14
classic,5,15,true,15.516447774311738,0.0,5.0,41
classic,5,16,true,0.8724614759038102,0.0,5.0,5
arbiter,5,1,false,,1.0,3.0,83
arbiter,5,2,false,,0.0,4.0,94
arbiter,5,3,false,,1.0,3.0,83
arbiter,5,4,false,,1.0,3.0,119
arbiter,5,5,false,,1.0,3.0,86
